scope,group,prompt_id,aspect,n_annotations,nodes,observed_edges,eligible_edges,eligible_triples,cyclic_triples,cycle_rate,weighted_cycle_intensity,gradient_energy,residual_energy,rho_cyc
global,evaluator=zealous_boyd,ALL,truthful,313,6,15,11,6,0,0.0,0.0,14.937682528572946,3.205174614284212,0.17666316771645263
global,evaluator=zealous_boyd,ALL,harmless,313,6,6,3,0,0,,,4.4999999999999964,1.7626110851031983e-30,3.9169135224515518e-31
global,evaluator=sad_babbage,ALL,overall,311,6,15,13,12,2,0.16666666666666666,0.00017839664045972656,13.652571281312783,7.013755744886365,0.33938085543671476
global,evaluator=sad_babbage,ALL,helpful,311,6,15,15,20,0,0.0,0.0,11.202370243330183,6.402807674726992,0.3636888933772034
global,evaluator=sad_babbage,ALL,truthful,311,6,14,11,7,1,0.14285714285714285,0.0047619047619047615,2.8932088712418462,5.888320710287735,0.6705347463240109
global,evaluator=sad_babbage,ALL,harmless,311,6,14,12,9,3,0.3333333333333333,0.01996151996151996,1.8286347505583493,9.289979968056368,0.8355339404380241
global,evaluator=condescending_rosalind,ALL,overall,311,6,15,15,20,0,0.0,0.0,48.46617463034174,3.9164676054247134,0.07476651498023487
global,evaluator=condescending_rosalind,ALL,helpful,311,6,15,15,20,0,0.0,0.0,47.22475149402272,2.8549685155560183,0.05700847598608683
global,evaluator=condescending_rosalind,ALL,truthful,311,6,15,14,16,1,0.0625,0.01065340909090909,17.658036029722137,6.569597447911359,0.27116133542206233
global,evaluator=condescending_rosalind,ALL,harmless,311,6,4,1,0,0,,,1.0,0.0,0.0
global,evaluator=moronic_dubinsky,ALL,overall,304,6,15,15,20,0,0.0,0.0,28.723196841370196,2.7882435566400465,0.08848353237499433
global,evaluator=moronic_dubinsky,ALL,helpful,304,6,15,15,20,1,0.05,3.703703703703704e-05,26.44532390652802,6.603735313119406,0.19981613604279325
global,evaluator=moronic_dubinsky,ALL,truthful,304,6,11,7,1,0,0.0,0.0,3.374086994440202,1.3021034817502712,0.2784539013926242
global,evaluator=moronic_dubinsky,ALL,harmless,304,6,8,8,2,0,0.0,0.0,9.601382488479254,0.8986175115207373,0.08558262014483213
global,evaluator=silly_khorana,ALL,overall,300,6,15,15,20,1,0.05,0.001488095238095238,53.733856074474126,7.705416962591968,0.12541517146440395
global,evaluator=silly_khorana,ALL,helpful,300,6,15,14,16,0,0.0,0.0,52.62113637005803,8.775265464652913,0.14292800884777176
global,evaluator=silly_khorana,ALL,truthful,300,6,14,12,11,0,0.0,0.0,8.819375759491141,2.3472909071755312,0.2102051558664655
global,evaluator=silly_khorana,ALL,harmless,300,6,8,3,0,0,,,2.9999999999999987,2.465190328815662e-31,8.217301096052207e-32
global,evaluator=festive_mayer,ALL,overall,298,6,15,13,13,0,0.0,0.0,28.475193565947645,7.319167745828538,0.2044782328165349
global,evaluator=festive_mayer,ALL,helpful,298,6,15,14,16,0,0.0,0.0,16.31369805937577,6.635873076431464,0.28915019967749184
global,evaluator=festive_mayer,ALL,truthful,298,6,15,13,12,1,0.08333333333333333,0.007142857142857142,13.481626157908865,5.503871677588962,0.28989872824394336
global,evaluator=festive_mayer,ALL,harmless,298,6,12,11,6,0,0.0,0.0,14.736388697450037,1.335039873978537,0.08306914771422008
global,evaluator=heuristic_kirch,ALL,overall,297,6,15,14,16,0,0.0,0.0,31.40509973376878,3.4750719464028728,0.09962886588595392
global,evaluator=heuristic_kirch,ALL,helpful,297,6,15,13,13,0,0.0,0.0,35.82926529025545,8.585751254137566,0.1933073974104248
global,evaluator=heuristic_kirch,ALL,truthful,297,6,15,14,16,4,0.25,0.011426854395604397,17.733905154099062,5.935661390467516,0.25077186687350106
global,evaluator=heuristic_kirch,ALL,harmless,297,6,10,8,3,0,0.0,0.0,9.218039772727266,0.6819602272727271,0.0688848714416896
global,evaluator=ecstatic_ardinghelli,ALL,overall,278,6,15,15,20,0,0.0,0.0,35.413166686974776,3.0514393662501997,0.07933109628180786
global,evaluator=ecstatic_ardinghelli,ALL,helpful,278,6,15,15,20,0,0.0,0.0,37.940814724257635,3.0665084158020917,0.07477953158094451
global,evaluator=ecstatic_ardinghelli,ALL,truthful,278,6,3,0,0,0,,,,,
global,evaluator=ecstatic_ardinghelli,ALL,harmless,278,6,2,2,0,0,,,2.0,0.0,0.0
global,evaluator=mystifying_fermi,ALL,overall,274,6,15,15,20,0,0.0,0.0,72.92222956990943,4.915047050247399,0.06314515696936118
global,evaluator=mystifying_fermi,ALL,helpful,274,6,15,15,20,0,0.0,0.0,78.97606483994764,6.291403721282935,0.07378433800652917
global,evaluator=mystifying_fermi,ALL,truthful,274,6,15,15,20,2,0.1,0.0005036630036630036,17.904164432060046,6.4798313107593,0.2657411598616898
global,evaluator=mystifying_fermi,ALL,harmless,274,6,12,11,6,0,0.0,0.0,9.023555716996745,5.00090315746212,0.3565843931825196
global,evaluator=flamboyant_wiles,ALL,overall,273,6,15,14,16,3,0.1875,0.001477238490225503,30.9958224383939,14.626564433993012,0.3206005962578385
global,evaluator=flamboyant_wiles,ALL,helpful,273,6,15,13,13,0,0.0,0.0,31.676374649275363,12.834898255143294,0.28835163358963745
global,evaluator=flamboyant_wiles,ALL,truthful,273,6,15,13,12,0,0.0,0.0,12.498295810854158,6.440015877457537,0.34005226988803733
global,evaluator=flamboyant_wiles,ALL,harmless,273,6,4,3,0,0,,,2.499999999999999,4.930380657631324e-31,1.9721522630525295e-31
global,evaluator=brave_hoover,ALL,overall,267,6,15,14,16,0,0.0,0.0,48.7585460347555,5.855337872874557,0.10721335773844343
global,evaluator=brave_hoover,ALL,helpful,267,6,15,14,16,0,0.0,0.0,40.52294355282233,6.457293650634633,0.13744702102439524
global,evaluator=brave_hoover,ALL,truthful,267,6,14,11,8,0,0.0,0.0,11.4553162735952,4.144683726404812,0.2656848542567187
global,evaluator=brave_hoover,ALL,harmless,267,6,7,1,0,0,,,1.0,0.0,0.0
global,evaluator=unruffled_hoover,ALL,overall,265,6,15,14,16,0,0.0,0.0,46.78302124823407,6.087804417328489,0.11514487131026195
global,evaluator=unruffled_hoover,ALL,helpful,265,6,15,14,16,0,0.0,0.0,60.07892597198217,6.8801439649010225,0.10275148641381016
global,evaluator=unruffled_hoover,ALL,truthful,265,6,15,13,13,0,0.0,0.0,19.37429667514102,5.838690337845998,0.23157471722166575
global,evaluator=unruffled_hoover,ALL,harmless,265,6,12,10,6,1,0.16666666666666666,0.018518518518518517,8.189499964835784,1.6200238446880264,0.16514806183712893
global,evaluator=elegant_ride,ALL,overall,264,6,15,15,20,0,0.0,0.0,47.31827542556338,7.46399429391853,0.13624835794753754
global,evaluator=elegant_ride,ALL,helpful,264,6,15,15,20,0,0.0,0.0,47.33786295208653,8.515671694095117,0.15246432921461078
global,evaluator=elegant_ride,ALL,truthful,264,6,15,14,16,1,0.0625,0.0625,10.021733664955521,7.543345700123842,0.4294512733668914
global,evaluator=elegant_ride,ALL,harmless,264,6,3,0,0,0,,,,,
global,evaluator=silly_mestorf,ALL,overall,264,6,15,14,16,1,0.0625,0.0003823529411764706,30.639519409598385,8.375105992225283,0.21466580560411602
global,evaluator=silly_mestorf,ALL,helpful,264,6,15,15,20,0,0.0,0.0,28.983947885778477,7.942884878979985,0.2150979188922037
global,evaluator=silly_mestorf,ALL,truthful,264,6,13,10,5,1,0.2,0.016666666666666666,3.576001305028228,2.407332028305104,0.4023396147585131
global,evaluator=silly_mestorf,ALL,harmless,264,6,9,5,1,0,0.0,0.0,5.6249999999999964,0.3749999999999999,0.06249999999999998
global,evaluator=unruffled_jennings,ALL,overall,263,6,15,15,20,4,0.2,0.002547383172383172,9.486843487180321,7.602988902652055,0.4448837606608394
global,evaluator=unruffled_jennings,ALL,helpful,263,6,15,14,16,3,0.1875,0.0014232467309092695,11.979729067023202,6.069987246934586,0.33629266750528813
global,evaluator=unruffled_jennings,ALL,truthful,263,6,7,4,0,0,,,3.0666666666666673,6.209198140704448e-31,2.024738524142755e-31
global,evaluator=unruffled_jennings,ALL,harmless,263,6,7,4,0,0,,,1.307692307692306,3.692307692307692,0.7384615384615384
global,evaluator=laughing_roentgen,ALL,overall,261,6,15,14,16,0,0.0,0.0,20.97685919221844,3.298478280766069,0.13587775183092182
global,evaluator=laughing_roentgen,ALL,helpful,261,6,15,15,20,0,0.0,0.0,21.071091308607468,3.936098358489185,0.15739866857842602
global,evaluator=laughing_roentgen,ALL,truthful,261,6,15,13,13,2,0.15384615384615385,0.018461538461538463,11.310555489006731,6.373571495120243,0.3604119955054082
global,evaluator=laughing_roentgen,ALL,harmless,261,6,13,7,2,0,0.0,0.0,8.504,0.396,0.04449438202247192
global,evaluator=agitated_gates,ALL,overall,259,6,15,15,20,0,0.0,0.0,47.42546354131742,1.7619273743017765,0.03582071220903658
global,evaluator=agitated_gates,ALL,helpful,259,6,15,14,16,0,0.0,0.0,49.279309467546156,2.5474218839907627,0.04915266345299282
global,evaluator=agitated_gates,ALL,truthful,259,6,15,10,6,0,0.0,0.0,20.51818946902642,1.5567956765469377,0.07052306791060814
global,evaluator=agitated_gates,ALL,harmless,259,6,3,2,0,0,,,2.5000000000000013,2.9582283945787943e-31,1.1832913578315177e-31
global,evaluator=affectionate_bhabha,ALL,overall,259,6,15,14,16,0,0.0,0.0,56.28506976237394,3.1774304067758106,0.05343586962770057
global,evaluator=affectionate_bhabha,ALL,helpful,259,6,15,15,20,2,0.1,0.0005440368598263335,56.464536279638565,4.346273924201794,0.07147206080025761
global,evaluator=affectionate_bhabha,ALL,truthful,259,6,13,10,6,1,0.16666666666666666,0.027777777777777776,7.1200609324264725,3.246605734240192,0.31317740201673877
global,evaluator=affectionate_bhabha,ALL,harmless,259,6,6,3,0,0,,,2.1666666666666674,2.7579316803625217e-31,1.272891544782702e-31
global,evaluator=admiring_lamarr,ALL,overall,258,6,15,15,20,0,0.0,0.0,35.76710930916139,5.544232491452831,0.1342060618173965
global,evaluator=admiring_lamarr,ALL,helpful,258,6,15,14,16,0,0.0,0.0,46.68174551534192,3.8866130655486377,0.07685859645476734
global,evaluator=admiring_lamarr,ALL,truthful,258,6,12,7,0,0,,,6.264579989299078,0.7354200107009095,0.10506000152870135
global,evaluator=admiring_lamarr,ALL,harmless,258,6,8,5,0,0,,,7.499999999999994,2.1878564168239e-30,2.9171418890985334e-31
global,evaluator=infallible_spence,ALL,overall,257,6,15,13,12,3,0.25,0.0057463383486775306,11.500048933559267,16.454165053348216,0.5886112577178746
global,evaluator=infallible_spence,ALL,helpful,257,6,15,14,16,0,0.0,0.0,10.427986631873983,19.0912654586923,0.6467394702318172
global,evaluator=infallible_spence,ALL,truthful,257,6,13,11,7,2,0.2857142857142857,0.05079365079365079,4.884953891442133,10.981712775224537,0.6921247547410422
global,evaluator=infallible_spence,ALL,harmless,257,6,5,4,0,0,,,3.7142857142857184,0.2857142857142858,0.07142857142857145
global,evaluator=elastic_roentgen,ALL,overall,257,6,15,15,20,0,0.0,0.0,23.41037913980304,5.713136233712345,0.19616918357691848
global,evaluator=elastic_roentgen,ALL,helpful,257,6,15,15,20,0,0.0,0.0,17.514469875836195,4.275036647911801,0.1961970383887543
global,evaluator=elastic_roentgen,ALL,truthful,257,6,14,13,13,0,0.0,0.0,18.82779714411651,4.248393332073945,0.18410288892602736
global,evaluator=elastic_roentgen,ALL,harmless,257,6,8,6,1,0,0.0,0.0,4.909090909090909,1.0909090909090908,0.1818181818181818
global,evaluator=adoring_lumiere,ALL,overall,255,6,15,15,20,0,0.0,0.0,45.83168687560189,1.8356870903015183,0.038510346544674154
global,evaluator=adoring_lumiere,ALL,helpful,255,6,15,15,20,0,0.0,0.0,46.71364307838522,3.928194048806618,0.07756815849592073
global,evaluator=adoring_lumiere,ALL,truthful,255,6,10,7,3,0,0.0,0.0,8.382142857142846,1.6178571428571429,0.16178571428571428
global,evaluator=adoring_lumiere,ALL,harmless,255,6,6,5,0,0,,,4.333333333333336,8.96712982106697e-31,2.069337651015455e-31
global,evaluator=reverent_mcnulty,ALL,overall,253,6,15,14,16,0,0.0,0.0,62.52826606199732,8.753363710968195,0.12279971345840396
global,evaluator=reverent_mcnulty,ALL,helpful,253,6,15,15,20,1,0.05,0.00013774104683195594,68.74185406494244,6.817341739253328,0.0902251759920764
global,evaluator=reverent_mcnulty,ALL,truthful,253,6,15,11,6,4,0.6666666666666666,0.13518518518518519,4.551149067302381,8.537739821586511,0.6522891204947251
global,evaluator=reverent_mcnulty,ALL,harmless,253,6,15,13,13,3,0.23076923076923078,0.010785510785510785,11.529100266821144,3.561592373871492,0.23601251835634898
global,evaluator=blissful_gates,ALL,overall,251,6,15,14,16,0,0.0,0.0,57.464750662692374,2.9686509030622044,0.049122684246594425
global,evaluator=blissful_gates,ALL,helpful,251,6,15,14,16,0,0.0,0.0,56.03534160058895,4.063760700618596,0.06761766058087931
global,evaluator=blissful_gates,ALL,truthful,251,6,15,15,20,1,0.05,0.004285714285714286,25.272705807652002,4.520944985998838,0.15174189350981715
global,evaluator=blissful_gates,ALL,harmless,251,6,10,3,0,0,,,3.166666666666671,1.3496917050265749e-30,4.262184331662868e-31
global,evaluator=quirky_hypatia,ALL,overall,248,6,15,15,20,0,0.0,0.0,28.767174852108823,9.808409857299413,0.25426470995026107
global,evaluator=quirky_hypatia,ALL,helpful,248,6,15,15,20,0,0.0,0.0,36.07356766084133,9.627211921072968,0.21065749882487456
global,evaluator=quirky_hypatia,ALL,truthful,248,6,14,9,0,0,,,6.31268417189742,3.520649161435911,0.35803211811212654
global,evaluator=quirky_hypatia,ALL,harmless,248,6,4,1,0,0,,,1.0,0.0,0.0
global,evaluator=gracious_kare,ALL,overall,244,6,15,14,16,0,0.0,0.0,58.70310307681923,6.633060287761217,0.1015220353657479
global,evaluator=gracious_kare,ALL,helpful,244,6,15,15,20,0,0.0,0.0,55.833706989289865,7.984172509065051,0.12510870890454562
global,evaluator=gracious_kare,ALL,truthful,244,6,13,10,5,1,0.2,0.2,4.112586130602439,9.887413869397559,0.7062438478141113
global,evaluator=gracious_kare,ALL,harmless,244,6,10,9,4,1,0.25,0.08333333333333333,6.125168236877532,3.3748317631224753,0.35524544874973424
global,evaluator=peaceful_golick,ALL,overall,242,6,15,11,7,2,0.2857142857142857,0.0007835916321415783,5.488392259832293,4.167106744087764,0.43157860017342986
global,evaluator=peaceful_golick,ALL,helpful,242,6,15,14,16,5,0.3125,0.003980481980614,3.7505240431927716,5.853972356669763,0.6095033110485159
global,evaluator=peaceful_golick,ALL,truthful,242,6,13,11,6,0,0.0,0.0,5.310234624678454,4.9945272800834415,0.48468148281770923
global,evaluator=peaceful_golick,ALL,harmless,242,6,13,9,4,1,0.25,0.25,5.78284803708533,5.288580534343247,0.4776782418116481
global,evaluator=wizardly_pare,ALL,overall,239,6,15,15,20,5,0.25,0.0021600868293542427,12.439298807467136,6.682632477029529,0.3494747668321322
global,evaluator=wizardly_pare,ALL,helpful,239,6,15,15,20,2,0.1,0.0024872448979591836,14.464259634159873,6.537398511615924,0.3112801125624853
global,evaluator=wizardly_pare,ALL,truthful,239,6,14,12,11,3,0.2727272727272727,0.0871310507674144,3.6886864160874566,12.081443454042416,0.7660966367135519
global,evaluator=wizardly_pare,ALL,harmless,239,6,7,4,1,0,0.0,0.0,4.769230769230763,1.130769230769231,0.19165580182529338
global,evaluator=musing_golick,ALL,overall,236,6,15,15,20,1,0.05,0.002934782608695652,25.978403859902343,5.490838619698183,0.17448270714674932
global,evaluator=musing_golick,ALL,helpful,236,6,15,15,20,1,0.05,0.0018518518518518517,33.43448334209193,6.175997710036732,0.15591827077052975
global,evaluator=musing_golick,ALL,truthful,236,6,15,15,20,4,0.2,0.00604040404040404,14.339634348044582,4.728373461139697,0.2479741726800758
global,evaluator=musing_golick,ALL,harmless,236,6,8,4,1,0,0.0,0.0,5.124999999999995,0.375,0.06818181818181818
global,evaluator=ecstatic_mcnulty,ALL,overall,235,6,15,15,20,0,0.0,0.0,49.34601355098256,3.403148206306168,0.06451568314895417
global,evaluator=ecstatic_mcnulty,ALL,helpful,235,6,15,15,20,1,0.05,0.00021929824561403506,39.029592306192555,5.481080958164918,0.12314082345175327
global,evaluator=ecstatic_mcnulty,ALL,truthful,235,6,12,11,8,2,0.25,0.05555555555555555,9.36685288640596,4.133147113594041,0.3061590454514104
global,evaluator=ecstatic_mcnulty,ALL,harmless,235,6,5,3,0,0,,,2.999999999999999,1.1093356479670479e-31,3.697785493223493e-32
global,evaluator=suspicious_saha,ALL,overall,231,6,15,13,13,1,0.07692307692307693,0.0015425750719868367,24.319529832031222,3.643037794700515,0.13028266371425187
global,evaluator=suspicious_saha,ALL,helpful,231,6,15,13,13,1,0.07692307692307693,0.0009712509712509711,23.07601221819035,4.353364253291358,0.15871174679517563
global,evaluator=suspicious_saha,ALL,truthful,231,6,12,8,2,2,1.0,0.2222222222222222,5.126373626373628,3.206959706959707,0.38483516483516483
global,evaluator=suspicious_saha,ALL,harmless,231,6,6,3,0,0,,,2.999999999999999,1.1093356479670479e-31,3.697785493223493e-32
global,evaluator=cool_heyrovsky,ALL,overall,230,6,15,15,20,1,0.05,6.587615283267457e-05,40.06065282715831,4.400674003005664,0.09897756807428669
global,evaluator=cool_heyrovsky,ALL,helpful,230,6,15,15,20,0,0.0,0.0,34.39725365840036,3.7224487015770977,0.09765156785393365
global,evaluator=cool_heyrovsky,ALL,truthful,230,6,14,10,5,0,0.0,0.0,6.82580996037604,3.6122852777191987,0.34606747642382835
global,evaluator=cool_heyrovsky,ALL,harmless,230,6,10,7,1,0,0.0,0.0,2.862068965517238,5.137931034482758,0.6422413793103448
global,evaluator=reverent_heisenberg,ALL,overall,227,6,15,14,16,0,0.0,0.0,27.68252757962566,7.39931016773636,0.21091569435505825
global,evaluator=reverent_heisenberg,ALL,helpful,227,6,15,14,16,2,0.125,0.0021105283605283606,21.016623348299387,6.711012349336323,0.24203334256546666
global,evaluator=reverent_heisenberg,ALL,truthful,227,6,14,13,12,2,0.16666666666666666,0.05277777777777778,9.5130702884842,8.553596378182457,0.47344629399533894
global,evaluator=reverent_heisenberg,ALL,harmless,227,6,8,4,0,0,,,4.722222222222224,0.4444444444444445,0.0860215053763441
global,evaluator=optimistic_newton,ALL,overall,227,6,15,15,20,0,0.0,0.0,44.66759052125398,6.343620270877814,0.12435737502345812
global,evaluator=optimistic_newton,ALL,helpful,227,6,15,13,12,0,0.0,0.0,45.779342555625064,4.957733790579401,0.09771421902102323
global,evaluator=optimistic_newton,ALL,truthful,227,6,14,12,10,1,0.1,0.1,5.2570359932043695,6.3429640067956425,0.5468072419651416
global,evaluator=optimistic_newton,ALL,harmless,227,6,11,7,3,2,0.6666666666666666,0.24074074074074073,0.8799999999999978,5.620000000000001,0.8646153846153848
global,evaluator=vigorous_wing,ALL,overall,227,6,15,15,20,1,0.05,0.0009297520661157024,20.87597486098492,7.066241694389517,0.25288765765543336
global,evaluator=vigorous_wing,ALL,helpful,227,6,15,15,20,1,0.05,0.0009297520661157024,20.22979156398726,7.44132416239163,0.2689202790365916
global,evaluator=vigorous_wing,ALL,truthful,227,6,11,8,2,0,0.0,0.0,6.402195608782444,1.7644710578842315,0.2160576805572528
global,evaluator=vigorous_wing,ALL,harmless,227,6,2,1,0,0,,,1.0,0.0,0.0
global,evaluator=wonderful_leavitt,ALL,overall,221,6,15,15,20,2,0.1,0.0027565982404692086,23.870565843124208,6.184747463640701,0.20577883852066256
global,evaluator=wonderful_leavitt,ALL,helpful,221,6,15,15,20,2,0.1,0.0007959782153330539,22.583270634709024,5.09624681396025,0.18411617266851069
global,evaluator=wonderful_leavitt,ALL,truthful,221,6,15,14,16,2,0.125,0.026787101787101787,12.879584619731409,8.801145760998967,0.4059432319135032
global,evaluator=wonderful_leavitt,ALL,harmless,221,6,3,2,0,0,,,2.000000000000001,2.2494861750442915e-31,1.1247430875221457e-31
global,evaluator=youthful_lewin,ALL,overall,221,6,15,13,13,2,0.15384615384615385,0.0034722441962260968,6.970751097956629,12.032440169429014,0.6331799748855748
global,evaluator=youthful_lewin,ALL,helpful,221,6,15,14,16,0,0.0,0.0,9.51243174450299,7.227465369047373,0.43175088353422386
global,evaluator=youthful_lewin,ALL,truthful,221,6,14,9,4,3,0.75,0.05092592592592593,1.3072480900054728,3.5864027036453194,0.7328685382084175
