edge,support,mean_choice_values,mean_choice_fluency,mean_choice_factuality,mean_choice_safety,mean_choice_diversity,mean_choice_creativity,mean_choice_helpfulness,dominant_attribute,dominant_attribute_value,mean_winner_loser_score_gap
models/chat-bison-001 > claude-instant-1,259,61.72429906542056,79.78884462151395,78.48305084745763,67.13488372093023,62.551219512195125,62.46330275229358,82.50196078431372,choice_helpfulness,82.50196078431372,27.22007722007722
gpt-4-1106-preview > claude-2.1,251,70.0935960591133,84.85355648535565,80.73251028806584,67.83482142857143,68.79357798165138,63.9647577092511,83.9601593625498,choice_fluency,84.85355648535565,40.37848605577689
command-light > gpt-4-1106-preview,249,63.68722466960352,78.7469387755102,79.78367346938775,71.6606334841629,71.80530973451327,67.50416666666666,81.43983402489627,choice_helpfulness,81.43983402489627,29.72690763052209
command-nightly > claude-instant-1,247,67.71296296296296,82.5506072874494,79.84583333333333,70.25221238938053,65.94090909090909,64.4679802955665,82.53441295546558,choice_fluency,82.5506072874494,31.931174089068826
timdettmers/guanaco-33b-merged > gpt-4,246,64.14414414414415,81.48780487804878,79.89669421487604,67.30973451327434,68.12558139534883,58.79565217391304,79.32926829268293,choice_fluency,81.48780487804878,33.97560975609756
HuggingFaceH4/zephyr-7b-beta > command-nightly,236,63.537688442211056,82.55084745762711,80.0603448275862,68.39512195121951,63.83168316831683,61.69124423963134,79.09745762711864,choice_fluency,82.55084745762711,32.96610169491525
command-light > claude-2,234,61.93333333333333,82.22608695652174,75.8859649122807,69.03381642512078,65.77777777777777,58.06103286384977,77.14782608695653,choice_fluency,82.22608695652174,34.901709401709404
claude-instant-1 > meta-llama/Llama-2-7b-chat-hf,232,72.05445544554455,84.90350877192982,82.41363636363636,72.19895287958116,63.84924623115578,66.31627906976745,84.94736842105263,choice_helpfulness,84.94736842105263,31.517241379310345
meta-llama/Llama-2-7b-chat-hf > command-nightly,231,69.10837438423646,86.41125541125541,85.45454545454545,79.26905829596413,68.51658767772511,63.45812807881774,88.54185022026432,choice_helpfulness,88.54185022026432,40.12987012987013
command-nightly > command-light,229,65.07766990291262,82.91703056768559,80.48471615720524,70.5868544600939,68.02843601895735,64.65326633165829,81.49781659388647,choice_fluency,82.91703056768559,37.18777292576419
gpt-4-1106-preview > mistralai/Mistral-7B-Instruct-v0.1,227,73.11848341232228,87.20547945205479,81.40182648401826,76.0048076923077,66.64593301435407,65.06965174129353,85.85840707964601,choice_fluency,87.20547945205479,33.22907488986784
gpt-3.5-turbo > command-light,225,62.85929648241206,82.5111111111111,82.74634146341464,76.23557692307692,68.11330049261083,58.31553398058252,82.64976958525345,choice_factuality,82.74634146341464,42.54222222222222
claude-2.1 > command-light,223,65.00502512562814,83.27064220183486,78.92093023255813,69.72815533980582,66.11111111111111,65.1356783919598,80.39013452914799,choice_fluency,83.27064220183486,46.91928251121076
models/chat-bison-001 > command-nightly,222,70.88020833333333,84.11261261261261,80.28909952606635,70.09803921568627,69.74489795918367,64.06122448979592,82.21028037383178,choice_fluency,84.11261261261261,31.5990990990991
meta-llama/Llama-2-7b-chat-hf > command-light,221,70.75,81.53846153846153,77.11961722488039,78.9951690821256,66.1076923076923,63.678391959798994,85.36866359447005,choice_helpfulness,85.36866359447005,40.55656108597285
claude-instant-1 > models/chat-bison-001,220,74.34736842105264,84.25454545454545,81.62037037037037,73.49484536082474,68.42857142857143,60.05235602094241,86.21461187214612,choice_helpfulness,86.21461187214612,31.927272727272726
command-light > timdettmers/guanaco-33b-merged,220,63.524324324324326,80.93055555555556,80.25925925925925,65.73529411764706,63.299019607843135,58.25,82.41981132075472,choice_helpfulness,82.41981132075472,44.872727272727275
meta-llama/Llama-2-70b-chat-hf > claude-2.1,219,66.58375634517766,84.81735159817352,78.87096774193549,82.1170731707317,65.61306532663316,62.99004975124378,81.68949771689498,choice_fluency,84.81735159817352,38.89954337899543
gpt-4 > gpt-3.5-turbo,219,68.67692307692307,84.37914691943128,79.71563981042654,69.36923076923077,61.43076923076923,57.15625,83.5068493150685,choice_fluency,84.37914691943128,26.95433789954338
gpt-4 > claude-2,213,66.36702127659575,82.41463414634147,78.74162679425838,75.45273631840796,61.78142076502732,61.75977653631285,83.88516746411483,choice_helpfulness,83.88516746411483,32.140845070422536
gpt-4 > claude-2.1,211,66.71584699453553,81.59241706161137,79.65876777251185,71.84210526315789,70.26595744680851,57.402010050251256,79.61611374407583,choice_fluency,81.59241706161137,37.60663507109005
gpt-4-1106-preview > command-nightly,209,64.11170212765957,80.9090909090909,79.45454545454545,74.13903743315508,68.65405405405406,61.47826086956522,79.48803827751196,choice_fluency,80.9090909090909,41.86124401913876
gpt-4-1106-preview > gpt-3.5-turbo,208,67.46666666666667,84.04326923076923,77.185,69.39267015706807,68.75,59.85164835164835,86.0576923076923,choice_helpfulness,86.0576923076923,28.278846153846153
claude-2 > gpt-3.5-turbo,202,64.7090909090909,79.68811881188118,76.86138613861387,71.92307692307692,60.61764705882353,60.870370370370374,79.68811881188118,choice_fluency,79.68811881188118,32.366336633663366
claude-2 > mistralai/Mistral-7B-Instruct-v0.1,196,73.36969696969697,83.25,79.11290322580645,69.48466257668711,64.79874213836477,66.46195652173913,82.875,choice_fluency,83.25,31.147959183673468
gpt-4-1106-preview > timdettmers/guanaco-33b-merged,193,70.62424242424242,83.92746113989638,76.28571428571429,69.954802259887,63.06211180124224,58.50289017341041,82.03626943005182,choice_fluency,83.92746113989638,50.2020725388601
meta-llama/Llama-2-70b-chat-hf > command-nightly,191,65.1375,81.15706806282722,77.07407407407408,75.30285714285715,64.65517241379311,64.69021739130434,83.27748691099477,choice_helpfulness,83.27748691099477,32.13612565445026
meta-llama/Llama-2-70b-chat-hf > meta-llama/Llama-2-7b-chat-hf,190,70.31372549019608,86.93010752688173,85.52247191011236,75.47928994082841,75.29530201342281,63.714285714285715,86.36315789473684,choice_fluency,86.93010752688173,26.652631578947368
gpt-3.5-turbo > claude-2.1,189,65.61006289308176,77.62962962962963,69.1878453038674,70.38857142857142,57.99386503067485,57.406060606060606,77.55801104972376,choice_fluency,77.62962962962963,34.41798941798942
claude-2.1 > mistralai/Mistral-7B-Instruct-v0.1,187,67.56129032258065,81.2620320855615,72.72727272727273,75.99354838709678,59.29931972789116,58.23225806451613,76.87700534759358,choice_fluency,81.2620320855615,43.46524064171123
gpt-4-1106-preview > gpt-4,183,69.30463576158941,84.57377049180327,79.53672316384181,70.90285714285714,63.925,58.62820512820513,85.79234972677595,choice_helpfulness,85.79234972677595,25.103825136612024
mistralai/Mistral-7B-Instruct-v0.1 > claude-2.1,180,61.773809523809526,76.53977272727273,71.78488372093024,74.76623376623377,60.07051282051282,55.80503144654088,75.0,choice_fluency,76.53977272727273,39.40555555555556
gpt-3.5-turbo > mistralai/Mistral-7B-Instruct-v0.1,172,66.72560975609755,78.1046511627907,80.62573099415205,72.80606060606061,66.8974358974359,56.76978417266187,80.97633136094674,choice_helpfulness,80.97633136094674,31.00581395348837
gpt-4-1106-preview > command-light,168,65.7124183006536,80.23809523809524,76.23809523809524,70.45751633986929,61.88275862068966,66.73913043478261,83.17261904761905,choice_helpfulness,83.17261904761905,42.404761904761905
claude-2 > timdettmers/guanaco-33b-merged,162,71.3169014084507,83.69753086419753,75.96103896103897,75.21830985915493,62.11194029850746,69.32394366197182,82.68518518518519,choice_fluency,83.69753086419753,56.882716049382715
command-nightly > meta-llama/Llama-2-13b-chat-hf,155,64.22962962962963,83.05298013245033,80.66233766233766,67.73134328358209,58.474074074074075,64.91095890410959,82.50322580645161,choice_fluency,83.05298013245033,30.670967741935485
meta-llama/Llama-2-13b-chat-hf > claude-2,153,76.7841726618705,83.9281045751634,79.91390728476821,76.10884353741497,68.92517006802721,72.17142857142858,86.57516339869281,choice_helpfulness,86.57516339869281,33.45751633986928
claude-2 > claude-2.1,149,71.4609375,81.20134228187919,73.56551724137931,73.44444444444444,67.32231404958678,64.08759124087591,82.59731543624162,choice_helpfulness,82.59731543624162,25.02013422818792
timdettmers/guanaco-33b-merged > meta-llama/Llama-2-13b-chat-hf,142,66.02307692307693,82.0774647887324,81.7605633802817,62.774647887323944,65.60144927536231,54.88461538461539,82.95070422535211,choice_helpfulness,82.95070422535211,39.021126760563384
meta-llama/Llama-2-13b-chat-hf > claude-2.1,122,61.70175438596491,84.63934426229508,68.5327868852459,68.56140350877193,58.324561403508774,58.33913043478261,75.59836065573771,choice_fluency,84.63934426229508,32.00819672131148
meta-llama/Llama-2-13b-chat-hf > gpt-3.5-turbo,108,61.87735849056604,76.57407407407408,63.53703703703704,67.75925925925925,57.405660377358494,61.46296296296296,78.56481481481481,choice_helpfulness,78.56481481481481,29.37037037037037
command-light > meta-llama/Llama-2-13b-chat-hf,107,59.47,78.02803738317758,78.45794392523365,61.068627450980394,57.30612244897959,57.212765957446805,82.30841121495327,choice_helpfulness,82.30841121495327,27.476635514018692
mistralai/Mistral-7B-Instruct-v0.1 > meta-llama/Llama-2-13b-chat-hf,91,67.47368421052632,87.72727272727273,83.02272727272727,80.3625,73.625,69.4125,83.68181818181819,choice_fluency,87.72727272727273,31.934065934065934
meta-llama/Llama-2-13b-chat-hf > gpt-4-1106-preview,89,71.11688311688312,85.79775280898876,76.33333333333333,80.23529411764706,66.05882352941177,67.91358024691358,79.87640449438203,choice_fluency,85.79775280898876,36.258426966292134
gpt-4 > meta-llama/Llama-2-13b-chat-hf,86,69.98461538461538,84.84883720930233,77.1038961038961,71.67948717948718,56.59016393442623,58.1025641025641,78.30232558139535,choice_fluency,84.84883720930233,39.63953488372093
